date,team1,team2,winner,Year,Team,MatchPlayed,MatchWon,Matchlost,,
4/18/2008,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,2008,RSP,0,0,0,Rising Pune Supergiants,RSP
4/19/2008,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,2008,CSK,16,9,7,Chennai Super Kings,CSK
4/19/2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,2008,DCH,14,2,12,Deccan Chargers,DCH
4/20/2008,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,2008,DCA,0,0,0,Deccan Capital,DCA
4/20/2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,2008,DDV,14,7,7,Delhi Daredevils,DDV
4/21/2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,2008,GLS,0,0,0,Gujarat Lions,GLS
4/22/2008,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,2008,KXP,15,10,5,Kings XI Punjab,KXP
4/23/2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,2008,KTK,0,0,0,Kochi Tuskers Kerala,KTK
4/24/2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2008,KKR,13,6,7,Kolkata Knight Riders,KKR
4/25/2008,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2008,MID,15,7,8,Mumbai Indians,MID
4/26/2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,2008,PWS,0,0,0,Pune Warriors,PWS
4/26/2008,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2008,RRS,16,13,3,Rajasthan Royals,RRS
4/27/2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,2008,RCB,14,4,10,Royal Challengers Bangalore,RCB
4/27/2008,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,2008,SHD,0,0,0,Sunrisers Hyderabad,SHD
4/28/2008,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,2009,RSP,0,0,0,,
4/29/2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,2009,CSK,14,8,6,,
4/30/2008,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,2009,DCH,16,9,7,,
5/1/2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,2009,DCA,0,0,0,,
5/1/2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,2009,DDV,15,10,5,,
5/2/2008,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,2009,GLS,0,0,0,,
5/25/2008,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,2009,KXP,14,7,7,,
5/3/2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,2009,KTK,0,0,0,,
5/4/2008,Mumbai Indians,Delhi Daredevils,Mumbai Indians,2009,KKR,13,3,10,,
5/4/2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,2009,MID,13,5,8,,
5/5/2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,2009,PWS,0,0,0,,
5/6/2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,2009,RRS,13,6,7,,
5/7/2008,Mumbai Indians,Rajasthan Royals,Mumbai Indians,2009,RCB,16,9,7,,
5/8/2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,2009,SHD,0,0,0,,
5/8/2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,2010,RSP,0,0,0,,
5/9/2008,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,2010,CSK,16,9,7,,
5/28/2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2010,DCH,16,8,8,,
5/10/2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,2010,DCA,0,0,0,,
5/11/2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,2010,DDV,14,7,7,,
5/11/2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,2010,GLS,0,0,0,,
5/12/2008,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,2010,KXP,14,4,10,,
5/13/2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,2010,KTK,0,0,0,,
5/14/2008,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2010,KKR,14,7,7,,
5/28/2008,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,2010,MID,16,11,5,,
5/15/2008,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,2010,PWS,0,0,0,,
5/16/2008,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,2010,RRS,14,6,8,,
5/17/2008,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,2010,RCB,16,8,8,,
5/17/2008,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,2010,SHD,0,0,0,,
5/18/2008,Deccan Chargers,Mumbai Indians,Mumbai Indians,2011,RSP,0,0,0,,
5/18/2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,2011,CSK,16,11,5,,
5/19/2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,2011,DCH,14,6,8,,
5/20/2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,2011,DCA,0,0,0,,
5/21/2008,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,2011,DDV,14,4,10,,
5/21/2008,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,2011,GLS,0,0,0,,
5/23/2008,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,2011,KXP,14,7,7,,
5/24/2008,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,2011,KTK,14,6,8,,
5/24/2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,2011,KKR,15,8,7,,
5/3/2008,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,2011,MID,16,10,6,,
5/25/2008,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,2011,PWS,14,4,10,,
5/26/2008,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,2011,RRS,13,6,7,,
5/27/2008,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,2011,RCB,16,10,6,,
5/30/2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,2011,SHD,0,0,0,,
5/31/2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,2012,RSP,0,0,0,,
6/1/2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,2012,CSK,18,10,8,,
4/18/2009,Chennai Super Kings,Mumbai Indians,Mumbai Indians,2012,DCH,15,4,11,,
4/18/2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,2012,DCA,0,0,0,,
4/19/2009,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,2012,DDV,18,11,7,,
4/19/2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,2012,GLS,0,0,0,,
4/20/2009,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,2012,KXP,16,8,8,,
4/21/2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,2012,KTK,0,0,0,,
4/22/2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,2012,KKR,17,12,5,,
4/23/2009,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,2012,MID,17,10,7,,
4/23/2009,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,2012,PWS,16,4,12,,
4/24/2009,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,2012,RRS,16,7,9,,
4/25/2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,2012,RCB,15,8,7,,
4/26/2009,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,2012,SHD,0,0,0,,
4/26/2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,2013,RSP,0,0,0,,
4/27/2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers,2013,CSK,18,12,6,,
4/27/2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,2013,DCH,0,0,0,,
4/28/2009,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,2013,DCA,0,0,0,,
4/29/2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,2013,DDV,16,3,13,,
4/29/2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2013,GLS,0,0,0,,
4/30/2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,2013,KXP,16,8,8,,
4/30/2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,2013,KTK,0,0,0,,
5/1/2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,2013,KKR,16,6,10,,
5/1/2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,2013,MID,19,13,6,,
5/2/2009,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2013,PWS,16,4,12,,
5/2/2009,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,2013,RRS,18,11,7,,
5/3/2009,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,2013,RCB,16,9,7,,
5/3/2009,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2013,SHD,17,10,7,,
5/4/2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,2014,RSP,0,0,0,,
5/5/2009,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,2014,CSK,16,10,6,,
5/5/2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,2014,DCH,0,0,0,,
5/6/2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,2014,DCA,0,0,0,,
5/7/2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,2014,DDV,14,2,12,,
